"All Establishment Details"
"January 2017"
"Report Date: 05/05/2017 11:10 AM",
"Establishment","License Number","Municipality","VGT Count","Amount Played","Amount Won","Net Wager","Funds In","Funds Out","NTI","NTI Tax Rate (30%)","State Share","Municipality Share",
"2000 Meadows Avenue Tap, Inc.","120703489","East Peoria","5","458353.4800","427657.5300","30695.9500","145261.0000","114564.8200","30696.1800","9208.9000","7674.0900","1534.8100",
"219 Sports Bar, LLC","120708201","Waukegan","5","423027.3900","387551.8400","35475.5500","140496.0000","105020.4500","35475.5500","10642.6800","8868.9000","1773.7800",
"220 N. RANDALL RD, INC.","120700784","Lake In the Hills","5","496600.9600","462784.8400","33816.1200","173477.0000","139660.8800","33816.1200","10144.9000","8454.0800","1690.8200",
"2266 S. Sixth LLC","160702619","Springfield","3","15949.1000","14594.6500","1354.4500","6112.0000","4757.3100","1354.6900","406.4300","338.7000","67.7300",
"2475 W. Higgins Road, Inc.","140703478","Hoffman Estates","5","259020.2600","235215.6500","23804.6100","83477.0000","59672.8200","23804.1800","7141.2800","5951.0700","1190.2100",
"251 Pub, Inc.","150701038","Lake In the Hills","5","194758.7700","176450.0100","18308.7600","72255.0000","53946.3300","18308.6700","5492.6500","4577.2100","915.4400",
"2520 PG, Inc.","160702010","Prairie Grove","5","165509.2300","152424.9000","13084.3300","53160.0000","40075.5400","13084.4600","3925.3600","3271.1300","654.2300",
"2525 West Higgins Road, Inc.","140703117","Hoffman Estates","3","60261.2100","56009.7500","4251.4600","20686.0000","16434.5400","4251.4600","1275.4400","1062.8600","212.5800",
"255 Group Ltd.","130705250","Aurora","5","154765.2500","135632.6000","19132.6500","49858.0000","30725.2500","19132.7500","5739.8700","4783.2300","956.6400",
"25TH ALLEY LOUNGE, INC.","120709211","Round Lake","5","331890.3500","300100.8200","31789.5300","111066.0000","79276.8300","31789.1700","9536.7800","7947.3200","1589.4600",
"27 Irving Park, LLC","140703638","Schiller Park","5","277312.8300","255187.0900","22125.7400","81216.0000","59090.1400","22125.8600","6637.7900","5531.4900","1106.3000",
"2867 CORPORATION","120702167","Morrison","5","92575.7400","83464.6800","9111.0600","32889.0000","23777.9400","9111.0600","2733.3800","2277.8200","455.5600",
"2SALESGUYS LLC","150702987","Effingham","5","263737.7800","246548.0000","17189.7800","89539.0000","72349.4200","17189.5800","5156.9200","4297.4300","859.4900",
"3 Gam's, Inc.","120711569","Stonington","4","90824.9900","80810.9500","10014.0400","28976.0000","18961.9600","10014.0400","3004.2900","2503.5800","500.7100",
"3 MONKEYS INC.","120700672","South Chicago Heights","4","184601.7900","168874.6100","15727.1800","64202.0000","48474.7900","15727.2100","4718.1900","3931.8300","786.3600",
"3's COMPANY, LTD","150702175","West Brooklyn","3","82523.8700","76766.9200","5756.9500","30203.0000","24446.1500","5756.8500","1727.1000","1439.2500","287.8500",
"308 MacArthur, Inc.","120702279","Madison County","5","501480.7700","464571.0400","36909.7300","128874.0000","91874.4200","36999.5800","11099.9100","9249.9200","1849.9900",
"312 Corporation","130705111","Oswego","5","267796.2100","244745.1800","23051.0300","91262.0000","68210.9700","23051.0300","6915.3400","5762.7900","1152.5500",
"32 Below, Inc.","150702369","Strasburg","4","175453.1000","162352.9500","13100.1500","58225.0000","45124.7900","13100.2100","3930.0600","3275.0500","655.0100",
"3240 PRESTO CAFE LLC","140703327","Berwyn","1","20.0000","0.0000","20.0000","20.0000","0.0000","20.0000","6.0000","5.0000","1.0000",
"35 Years, LLC Landmark","150700815","Normal","5","239623.2200","216846.6900","22776.5300","74230.0000","51453.4700","22776.5300","6832.9700","5694.1400","1138.8300",
"35 Years, LLC Patriot Center","150700817","Normal","5","302973.1400","276879.0500","26094.0900","104379.0000","78284.9100","26094.0900","7828.2600","6523.5500","1304.7100",
"36 N. Genesee, LLC","160701747","Waukegan","5","100158.7000","92154.6100","8004.0900","37355.0000","29350.4500","8004.5500","2401.4100","2001.1700","400.2400",
"3D OF CRYSTAL LAKE, CORPORATION","160701341","Crystal Lake","3","28585.8300","25822.7300","2763.1000","12770.0000","10006.9000","2763.1000","828.9300","690.7800","138.1500",
"3RD BASE LLC","120712649","Greene County","3","19696.9900","16892.7100","2804.2800","7210.0000","4405.7700","2804.2300","841.2800","701.0700","140.2100",
"4 J'S OF ILLINOIS, INC.","130701425","Ipava","3","31959.2800","29036.4800","2922.8000","9235.0000","6312.2000","2922.8000","876.8200","730.6900","146.1300",
"4 Play Pub N' Grub, LLC","130704518","Lake County","4","140148.0900","128570.7700","11577.3200","41792.0000","30214.6800","11577.3200","3473.1900","2894.3300","578.8600",
"4 T's Inc.","160703266","Valmeyer","3","14005.8100","11633.6200","2372.1900","5425.0000","3052.8100","2372.1900","711.6700","593.0600","118.6100",
"4-WAY STOP, INC.","120703515","Villa Grove","5","187318.0500","174239.9100","13078.1400","69806.0000","56727.9100","13078.0900","3923.4800","3269.5700","653.9100",
"411 EAST, INCORPORATED","160702790","Springfield","4","148896.5700","137969.1300","10927.4400","39065.0000","28137.6300","10927.3700","3278.2900","2731.9000","546.3900",
"45 SOUTH, INC.","130704549","Neoga","5","274072.8900","254727.3700","19345.5200","87252.0000","67906.4800","19345.5200","5803.6800","4836.4000","967.2800",
"459 Randall Crossings Co.","150701461","North Aurora","4","186595.9600","173548.2300","13047.7300","60982.0000","47934.5700","13047.4300","3914.2700","3261.9000","652.3700",
"4841 BUTTERFIELD CORPORATION","120705102","Hillside","3","213570.6100","194116.8400","19453.7700","63121.0000","43667.2300","19453.7700","5836.1300","4863.4400","972.6900",
"4ME, INC.","160701975","Vermilion County","5","378535.6100","360537.0800","17998.5300","114408.0000","96409.3800","17998.6200","5399.6500","4499.7100","899.9400",
"4th & Goal Grill, LLC","160701185","Washington","5","141916.3800","131269.9300","10646.4500","45900.0000","35253.4400","10646.5600","3194.0200","2661.6900","532.3300",
"51/50 Saloon Inc.","160700735","Sandoval","5","142298.9300","132580.9400","9717.9900","38321.0000","28603.2800","9717.7200","2915.3700","2429.4800","485.8900",
"516 First Street Corp.","140703417","La Salle","3","29845.5100","29078.4900","767.0200","9910.0000","9142.9800","767.0200","230.1500","191.7900","38.3600",
"525 GRILL & BAR, INC.","120705512","Chicago Heights","5","406605.3500","371797.7800","34807.5700","138811.0000","104003.4300","34807.5700","10442.3100","8701.9300","1740.3800",
"5436 S. HARLEM LLC.","130703962","Summit","5","99081.2000","90182.4300","8898.7700","29645.0000","20729.3500","8915.6500","2674.7600","2228.9700","445.7900",
"5th Street Billiards Bar and Grill, LLC","140704182","Dupo","5","229104.2400","213081.0100","16023.2300","59918.0000","43894.8400","16023.1600","4806.9900","4005.8300","801.1600",
"602604 LLC","150700582","Bloomington","3","5975.9100","5266.7500","709.1600","2252.0000","1542.8400","709.1600","212.7500","177.2900","35.4600",
