"All Establishment Details"
"January 2017"
"Report Date: 05/05/2017 11:10 AM",
"Establishment","License Number","Municipality","VGT Count","Amount Played","Amount Won","Net Wager","Funds In","Funds Out","NTI","NTI Tax Rate (30%)","State Share","Municipality Share",
"Dow Stepp Memorial Post No. 5975 Veterans of Foreign Wars of the United St","120903015","Marshall","5","226697.4100","208040.5900","18656.8200","62617.0000","43960.2500","18656.7500","5597.0800","4664.2400","932.8400",
"DOWN ON THE CORNER, LTD.","130704834","Adams County","2","148193.5500","138373.0700","9820.4800","35051.0000","25230.5400","9820.4600","2946.1600","2455.1400","491.0200",
"Downin Enterprises, Inc.","120705504","Galesburg","5","119171.9700","109559.3000","9612.6700","37493.0000","27880.4600","9612.5400","2883.8000","2403.1700","480.6300",
"Downtown Bartlett Inc.","120709801","Bartlett","3","51421.3300","46263.8400","5157.4900","12002.0000","6844.5100","5157.4900","1547.2600","1289.3900","257.8700",
"DOWNTOWN LOUNGE, INC.","120700653","Effingham","3","82691.4800","76922.5500","5768.9300","22938.0000","17169.0700","5768.9300","1730.7000","1442.2500","288.4500",
"Downtown Rockford Restaurant, L.L.C. ","120711017","Rockford","5","316563.8300","289739.5100","26824.3200","105188.0000","78363.7800","26824.2200","8047.3100","6706.0900","1341.2200",
"DOZER INC.","150701075","Marengo","3","82716.9600","77248.1500","5468.8100","28035.0000","22566.1900","5468.8100","1640.6200","1367.1900","273.4300",
"DPS OF HARRISBURG, INC.","120711753","Harrisburg","3","39581.2000","35677.4800","3903.7200","15630.0000","11726.0700","3903.9300","1171.2200","976.0200","195.2000",
"Dragon & Phoenix, Inc.","150703144","Round Lake Beach","5","443664.1400","395035.3000","48628.8400","138860.0000","90231.1600","48628.8400","14588.7500","12157.3000","2431.4500",
"Drapes Lounge, L.L.C.","120702990","Schram City","4","46149.6000","41502.8300","4646.7700","15427.0000","10780.1300","4646.8700","1394.0200","1161.6800","232.3400",
"DRB, INC.","130702714","McHenry County","5","304248.0900","271725.3500","32522.7400","103801.0000","71278.2600","32522.7400","9756.9000","8130.7500","1626.1500",
"DRD Ventures Corp.","150703678","Romeoville","5","173948.9300","160621.6100","13327.3200","57799.0000","44471.6800","13327.3200","3998.2500","3331.8700","666.3800",
"Drift-Inn-Tap, Ltd.","120710169","Gilberts","3","52565.6000","48551.3900","4014.2100","16511.0000","12497.0500","4013.9500","1204.2200","1003.5200","200.7000",
"DRINK-EM UP, INC.","150701848","Sangamon County","5","318668.3600","295004.5700","23663.7900","104456.0000","80792.2100","23663.7900","7099.2100","5916.0100","1183.2000",
"Drinkers & Thinkers Tavern, Inc.","120709440","Teutopolis","3","110417.5000","100692.9900","9724.5100","38596.0000","28871.5900","9724.4100","2917.3700","2431.1500","486.2200",
"Drunken Monkey Inc.","130702595","Grant Park","4","58204.4800","52633.8300","5570.6500","18952.0000","13381.4500","5570.5500","1671.2100","1392.6800","278.5300",
"Dry Dock Inn Inc.","130703002","Darien","5","178445.9700","160126.6600","18319.3100","55681.0000","37361.6900","18319.3100","5495.8300","4579.8600","915.9700",
"DSB2, INC.","150704086","Springfield","5","42224.2500","39166.4300","3057.8200","12555.0000","9497.3600","3057.6400","917.3000","764.4100","152.8900",
"DSHAC INC","150701240","Chillicothe","3","48522.2400","46736.1500","1786.0900","15201.0000","13414.9100","1786.0900","535.8300","446.5300","89.3000",
"DT's Bar LLC","120706282","Lexington","4","123642.5500","113998.2000","9644.3500","24235.0000","14590.6900","9644.3100","2893.3600","2411.1400","482.2200",
"Du Quoin Aerie #779 F.O. Eagles ","120808123","Du Quoin","5","103405.5700","94943.9700","8461.6000","29391.0000","20929.4000","8461.6000","2538.5400","2115.4500","423.0900",
"Du Quoin Elks #884","120807556","St. Johns","4","4431.5300","3968.8500","462.6800","1839.0000","1376.3200","462.6800","138.8300","115.7000","23.1300",
"Du-Wong Great Wall Restaurant, Inc.","120704515","Hickory Hills","2","61223.7800","53215.4600","8008.3200","16810.0000","8801.5800","8008.4200","2402.5600","2002.1300","400.4300",
"Dubai Lounge, Inc.","160701191","Effingham","3","53960.3900","50526.9800","3433.4100","17873.0000","14439.5700","3433.4300","1030.0700","858.3900","171.6800",
"Dublin Bay, Inc.","140700137","Bloomington","2","47845.4900","42777.6600","5067.8300","14783.0000","9715.1700","5067.8300","1520.3600","1266.9600","253.4000",
"Ducky's Lagoon, Inc.","120705888","Rock Island County","2","64766.2100","60531.8200","4234.3900","20051.0000","15816.6100","4234.3900","1270.3200","1058.6000","211.7200",
"Duett Co.","120702127","Justice","5","438634.7600","406216.9400","32417.8200","124380.0000","91962.1800","32417.8200","9725.4200","8104.5200","1620.9000",
"Duffy & Associates, Inc.","160700050","Lincoln","5","184703.3300","171068.5300","13634.8000","55193.0000","41558.2000","13634.8000","4090.4500","3408.7100","681.7400",
"Duffy & Associates, Inc.","160700130","Clinton","5","336867.7600","320655.2900","16212.4700","101344.0000","85131.6000","16212.4000","4863.7300","4053.1100","810.6200",
"Duffy's Palace Bowl, Inc.","120700453","Johnsburg","5","380281.9400","348081.1600","32200.7800","126064.0000","93863.2200","32200.7800","9660.2800","8050.2400","1610.0400",
"Dunagains Incorporated","120705441","Park Forest","5","360122.1800","332800.5800","27321.6000","115067.0000","87745.1100","27321.8900","8196.6300","6830.5300","1366.1000",
"Dunlap American Legion, Post # 1078","120909155","Peoria County","4","107492.8300","100959.1300","6533.7000","33006.0000","26472.3000","6533.7000","1960.2000","1633.5100","326.6900",
"DuQuoin Post #513 Veterans of Foreign War","120907555","St. Johns","5","240294.8800","221688.9200","18605.9600","66471.0000","47865.2300","18605.7700","5581.7900","4651.4900","930.3000",
"Dura Bowl I, Co.","150703111","Kewanee","3","37687.9800","34300.8700","3387.1100","11197.0000","7810.0300","3386.9700","1016.1200","846.7700","169.3500",
"DURBINS INC.","150701305","Summit","5","85663.4100","75942.3200","9721.0900","31287.0000","21565.9100","9721.0900","2916.4100","2430.3400","486.0700",
"DURBINS OF MANTENO INC.","150701884","Manteno","5","115845.5000","106807.0400","9038.4600","40872.0000","31833.5800","9038.4200","2711.5800","2259.6500","451.9300",
"DURBINS OF MIDLOTHIAN INC.","120703032","Midlothian","5","280258.1100","258789.9900","21468.1200","94487.0000","73018.9200","21468.0800","6440.4800","5367.0700","1073.4100",
"DURBINS OF TINLEY INC.","140700077","Tinley Park","5","310825.0800","288477.4700","22347.6100","101761.0000","79413.5400","22347.4600","6704.2800","5586.9000","1117.3800",
"Dustin's Place, Inc.","120704754","Carlyle","3","66184.5000","61431.3400","4753.1600","15528.0000","10774.9200","4753.0800","1425.9000","1188.2500","237.6500",
"Dutch Hollow Barn Corp.","120709095","St. Clair County","4","120326.4600","109864.2900","10462.1700","36695.0000","26232.5300","10462.4700","3138.8700","2615.7300","523.1400",
"Dutch Inn West, Inc.","130701959","Kane County","5","353936.5600","329283.6600","24652.9000","126574.0000","101921.3000","24652.7000","7395.9100","6163.2600","1232.6500",
"DX3, Inc.","120701204","Iroquois County","2","14462.5600","13638.6400","823.9200","4670.0000","3846.0800","823.9200","247.1700","205.9800","41.1900",
"Dynasty Asian Cuisine Inc.","150703892","Springfield","5","142852.5200","129661.5600","13190.9600","50045.0000","36854.2400","13190.7600","3957.2600","3297.7200","659.5400",
"E & J 12th Street Tap, Inc.","120707987","Streator","5","139651.4400","126007.5700","13643.8700","46772.0000","33128.1300","13643.8700","4093.2200","3411.0200","682.2000",
"E Castaneda Inc.","140701407","Waukegan","3","27654.8600","24827.5500","2827.3100","9338.0000","6510.6900","2827.3100","848.2400","706.8700","141.3700",
"E Mettille Corporation","120705175","Oglesby","5","232694.4900","216881.5000","15812.9900","79101.0000","63287.9500","15813.0500","4743.9900","3953.3200","790.6700",
"E. F. Mo Ltd.","120704732","Blue Island","5","265147.5200","244019.2300","21128.2900","81875.0000","60746.7200","21128.2800","6338.5300","5282.1100","1056.4200",
"E. L. Flanagan's, Inc.","120704000","Highland","5","174438.7300","162779.0900","11659.6400","56011.0000","44351.3600","11659.6400","3497.9700","2914.9800","582.9900",
"E.B.V. Grab N Go Inc.","140701835","Pontoon Beach","5","480089.2100","445011.8700","35077.3400","119544.0000","84466.6600","35077.3400","10523.3100","8769.4300","1753.8800",
"E.L. NORTON INC.","120706342","Minooka","2","45521.6300","42668.0600","2853.5700","10760.0000","7906.5800","2853.4200","856.0500","713.3800","142.6700",
"E.T. And T Enterprises INC","150701755","Berwyn","5","316699.6400","285913.6800","30785.9600","95586.0000","64800.0400","30785.9600","9235.8800","7696.5700","1539.3100",
"EAKER, INC.","120707831","Rantoul","5","244647.1000","222316.8500","22330.2500","80799.0000","58467.9500","22331.0500","6699.4100","5582.8500","1116.5600",
"EARL'S PLACE, INC.","120712961","Bushnell","3","45713.6600","42688.8300","3024.8300","15897.0000","12872.3000","3024.7000","907.5100","756.2600","151.2500",
"Earp Enterprises Inc.","120703762","Peoria County","4","112738.4700","104121.8100","8616.6600","33502.0000","24885.3400","8616.6600","2585.0300","2154.1900","430.8400",
"Eascott Inc.","130701026","West Brooklyn","4","72174.1900","66089.3500","6084.8400","25635.0000","19550.0800","6084.9200","1825.4900","1521.2400","304.2500",
"East End Bolders Club","120702256","Moline","4","83815.0700","75792.1400","8022.9300","28565.0000","20542.0700","8022.9300","2406.9700","2005.8100","401.1600",
"East End Tavern, LTD.","120707306","Monticello","5","310846.6300","291281.0400","19565.5900","90811.0000","71245.4100","19565.5900","5869.7300","4891.4400","978.2900",
"EAST LINCOLN ENTERPRISES LLC","120703711","Shawneetown","5","59349.8700","53873.6000","5476.2700","13382.0000","7905.9500","5476.0500","1642.8700","1369.0600","273.8100",
"EAST SIDE INC.","130700399","Virginia","3","119542.5200","108712.6100","10829.9100","39467.0000","28637.0900","10829.9100","3249.0600","2707.5500","541.5100",
"East St. Louis Knights Club, Inc.","150703074","O'Fallon","5","152509.9800","139691.7200","12818.2600","52004.0000","39185.7400","12818.2600","3845.5400","3204.6200","640.9200",
"EASTLAND SUITES - URBANA, LLC","130702852","Urbana","5","268031.5800","245958.3000","22073.2800","96126.0000","74052.7200","22073.2800","6621.9900","5518.3300","1103.6600",
"Eateries, Inc.","160701145","Danville","4","60423.6800","56131.6500","4292.0300","18684.0000","14392.4700","4291.5300","1287.5100","1072.9300","214.5800",
"Eateries, Inc.","130702878","Carbondale","5","93771.2000","87813.8400","5957.3600","27451.0000","21493.7900","5957.2100","1787.1900","1489.3300","297.8600",
"Eaton's Redwood Inn, Ltd.","120701406","Elgin","5","262640.5900","244119.2100","18521.3800","71795.0000","53273.6200","18521.3800","5556.4300","4630.3600","926.0700",
"EATS & BEATS ENTERTAINMENT GROUP, INC.","120705009","Crest Hill","5","244042.2100","227154.7200","16887.4900","73353.0000","56465.3000","16887.7000","5066.3700","4221.9700","844.4000",
"ECHOTERR,LLC","160700919","Venice","5","64602.5400","62210.7600","2391.7800","19470.0000","17078.2200","2391.7800","717.6100","598.0100","119.6000",
"Ed & Joe's Restaurant & Pizzeria, Inc.","140702134","Tinley Park","5","202001.8300","184151.1000","17850.7300","57760.0000","39909.2700","17850.7300","5355.2500","4462.7100","892.5400",
"Ed & Woodie's S&S Inc.","120710655","Florence","3","105087.4100","96565.8700","8521.5400","35899.0000","27377.4600","8521.5400","2556.4500","2130.3800","426.0700",
"Ed Champ Enterprises, LLC","120703002","Metcalf","5","143257.4000","130855.6000","12401.8000","34777.0000","22375.2000","12401.8000","3720.6900","3100.5800","620.1100",
"EDDIE'S PIZZA & PUB, INC.","140700783","North Aurora","3","104436.0400","95297.1100","9138.9300","28283.0000","19143.9700","9139.0300","2741.7200","2284.7700","456.9500",
"Eden Bar, LLC","150703193","Joliet","5","98345.7900","85714.6500","12631.1400","36752.0000","24121.1100","12630.8900","3789.2800","3157.7300","631.5500",
"Edgewood Golf Course, Inc.","130704749","Auburn","3","2597.5500","2097.2800","500.2700","1046.0000","545.7300","500.2700","150.0800","125.0700","25.0100",
"Edita Corporation","130700893","Dixon","4","50276.5100","47574.7200","2701.7900","13556.0000","10854.1800","2701.8200","810.5800","675.4800","135.1000",
"Eds Enterprises, Inc.","120709641","Buckley","5","287747.5500","273470.0400","14277.5100","88265.0000","73987.3900","14277.6100","4283.3500","3569.4600","713.8900",
"Eduardo Herrera","120710813","Danville","5","90415.5100","79785.8900","10629.6200","33333.0000","22703.6200","10629.3800","3188.8800","2657.4000","531.4800",
"Edward Domino","120700494","Freeport","5","252912.8700","234700.3500","18212.5200","68695.0000","50482.4800","18212.5200","5463.8500","4553.2100","910.6400",
"Edward Laubscher ","120701169","Sheldon","4","49986.9000","43935.1000","6051.8000","15829.0000","9777.3000","6051.7000","1815.5100","1512.9200","302.5900",
"Edward P. Foley","130705027","Essex","4","82758.6300","75257.5000","7501.1300","20461.0000","12959.8700","7501.1300","2250.4000","1875.3400","375.0600",
"Edward Schultz Post, No. 697, American Legion","120911027","Lansing","5","272221.4600","250837.1100","21384.3500","78952.0000","57567.6500","21384.3500","6415.3600","5346.1400","1069.2200",
"Edward Zeglis Sr","160700308","Spring Valley","5","248825.5300","232220.8400","16604.6900","76146.0000","59541.3100","16604.6900","4981.4900","4151.2400","830.2500",
"Edwards County Memorial Post #8222 Veterans Of Foreign Wars of the United States, Inc.","130903919","Albion","3","58065.9800","51833.9700","6232.0100","11509.0000","5276.9900","6232.0100","1869.5900","1557.9900","311.6000",
"EDWARDS TAVERN, INC.","120707727","Peoria County","3","46650.7500","41295.9800","5354.7700","14618.0000","9263.3900","5354.6100","1606.4200","1338.6800","267.7400",
"EDWIN'S INC.","130702728","Will County","5","140684.0800","133368.5500","7315.5300","43780.0000","36464.4700","7315.5300","2194.6900","1828.9100","365.7800",
"Effingham Chrome Shop, Inc.","141002323","Effingham","5","116063.6000","105711.3000","10352.3000","31837.0000","21484.5200","10352.4800","3105.7800","2588.1500","517.6300",
"Effingham Knights of Columbus Building Corporation","120713084","Effingham","5","208094.6300","195326.8700","12767.7600","67159.0000","54391.2400","12767.7600","3830.3800","3191.9800","638.4000",
"Effingham Lodge No. 1016 of the BPOE of the USA, Inc.","120806183","Effingham","5","60470.0900","56927.1100","3542.9800","18787.0000","15244.2400","3542.7600","1062.8500","885.7100","177.1400",
"Effingham Lodge No. 502, Loyal Order of Moose, Inc. ","120810780","Effingham","5","61493.4400","56863.2800","4630.1600","14765.0000","10134.9500","4630.0500","1389.0600","1157.5500","231.5100",
"EFFINGHAM POST NO. 120 DEPARTMENT OF ILLINOIS AMERICAN LEGION CORPORATION","120900197","Effingham","5","80984.7900","73923.5700","7061.2200","25870.0000","18808.7800","7061.2200","2118.4700","1765.3900","353.0800",
"EFJIAS MARKETING COMPANY, INC.","120705275","Markham","5","239320.1800","219607.2100","19712.9700","80867.0000","61153.6900","19713.3100","5914.1100","4928.4200","985.6900",
"Eggslap Enterprises LLC","140704421","Sycamore","5","552021.6300","505527.2800","46494.3500","173135.0000","126640.6500","46494.3500","13948.3400","11623.6200","2324.7200",
"EHB 113, Inc","120701372","Belleville","5","210915.9300","195129.0300","15786.9000","59926.0000","44139.0900","15786.9100","4736.1100","3946.7600","789.3500",
"EHINGER BROS. POST #8141, VETERANS OF FOREIGN WARS OF THE UNITED STATES","120909983","Calumet City","4","44919.7700","40140.9400","4778.8300","13840.0000","9061.1700","4778.8300","1433.6700","1194.7300","238.9400",
"EHM, Inc.","120712140","Elk Grove Village","5","188822.9000","171851.6600","16971.2400","64141.0000","47169.7600","16971.2400","5091.4200","4242.8600","848.5600",
"EL BARRIO CORPORATION","130700152","Mundelein","5","75884.3000","68845.3100","7038.9900","23869.0000","16830.1900","7038.8100","2111.7000","1759.7500","351.9500",
"EL BURRITO AMIGO INC. #1","140703031","Franklin Park","3","83312.4100","73951.6900","9360.7200","25572.0000","16211.2800","9360.7200","2808.2200","2340.1900","468.0300",
"EL CAMPESTRE MEXICAN RESTAURANT, INC.","120712499","Round Lake Beach","2","25210.3700","23128.2600","2082.1100","8091.0000","6008.8900","2082.1100","624.6800","520.5700","104.1100",
"El Carrizal, Inc.","160700044","Rockford","5","199935.5100","184364.5400","15570.9700","63426.0000","47855.2200","15570.7800","4671.2400","3892.7000","778.5400",
"El Corral Nightclub Inc.","130701474","Berwyn","3","30484.6700","29374.1500","1110.5200","7722.0000","6611.8800","1110.1200","333.0600","277.5500","55.5100",
"EL CORTEZ RESTAURANT AND LOUNGE, INC.","150700854","Country Club Hills","5","216233.2100","204360.7700","11872.4400","67356.0000","55483.5500","11872.4500","3561.8000","2968.1700","593.6300",
"EL DOS DE OROS, INC.","120707559","Melrose Park","5","224117.7600","212073.8500","12043.9100","77401.0000","65357.0900","12043.9100","3613.2500","3011.0400","602.2100",
"EL FAMOUS RESTAURANTS, INC.","150701266","Summit","3","33276.5000","29849.7700","3426.7300","17207.0000","13780.3700","3426.6300","1027.9900","856.6500","171.3400",
"El Gato Corp.","120709087","Granite City","5","290001.6800","266810.4800","23191.2000","72661.0000","49471.2600","23189.7400","6957.0100","5797.5100","1159.5000",
"El Indio Azteca Corp.","160701315","Summit","4","35391.0800","32806.0700","2585.0100","11218.0000","8633.0000","2585.0000","775.5400","646.2900","129.2500",
"EL JALICIENSE RESTAURANT, INC.","130701573","Round Lake Park","3","79507.1000","74346.2000","5160.9000","22426.0000","17265.0300","5160.9700","1548.2900","1290.2400","258.0500",
"EL JEFE AZTECA INC.","140702467","Melrose Park","5","98333.8800","90291.4500","8042.4300","31444.0000","23401.6800","8042.3200","2412.7500","2010.6200","402.1300",
"El Paisano Food & Liquors, Inc.","140701330","Addison","5","203170.2200","191300.4600","11869.7600","69284.0000","57414.2400","11869.7600","3560.9700","2967.4800","593.4900",
"EL PORVENIR INC.","150701558","Cicero","2","78414.6800","70330.6800","8084.0000","27151.0000","19067.0000","8084.0000","2425.2200","2021.0100","404.2100",
"EL RANCHITO TELLOS, INC.","150702425","Harrisburg","3","34727.1600","31846.3700","2880.7900","10028.0000","7147.2100","2880.7900","864.2900","720.2400","144.0500",
"EL RANCHITO, INC.","130700193","Harvey","4","161961.1700","151956.7100","10004.4600","45288.0000","35283.5600","10004.4400","3001.4400","2501.2000","500.2400",
"EL REAL DEL ORO, INC.","140703952","Melrose Park","3","145352.2300","133402.7700","11949.4600","26435.0000","14485.5400","11949.4600","3584.8800","2987.4000","597.4800",
"EL TORO BRAVO, INC.","130706160","Champaign","3","46304.5400","42196.0000","4108.5400","14804.0000","10695.4600","4108.5400","1232.6200","1027.1900","205.4300",
"El Toro Margarita Island, Incorporated","140700204","Bloomington","3","22643.5100","22569.0200","74.4900","7468.0000","7393.5600","74.4400","22.3800","18.6500","3.7300",
"El Toro of Rantoul, Inc.","140700205","Rantoul","3","28833.1700","26470.5700","2362.6000","12328.0000","9965.3700","2362.6300","708.8700","590.7300","118.1400",
"El Toro, Inc.","140702098","Urbana","5","144688.0200","134263.0400","10424.9800","51396.0000","40971.0200","10424.9800","3127.5200","2606.2700","521.2500",
"El Toro, ll Inc.","130706199","Champaign","3","55784.3400","51286.6200","4497.7200","17669.0000","13171.2800","4497.7200","1349.3700","1124.4800","224.8900",
"El Zarape Mexican Restaurant Inc.","160700853","West Peoria","3","23053.3400","20721.0700","2332.2700","5933.0000","3600.5600","2332.4400","699.7400","583.1200","116.6200",
"El-Mar Incorporated","120708210","Bridgeview","3","45845.6200","43600.2200","2245.4000","14006.0000","11760.6000","2245.4000","673.6100","561.3400","112.2700",
"Eldred American Legion Post 1135","120902983","Eldred","4","122164.5800","111947.0500","10217.5300","40894.0000","30676.4700","10217.5300","3065.3600","2554.4700","510.8900",
"ELFERNO L.L.C.","150704029","Plano","5","367612.8200","340110.4400","27502.3800","126334.0000","98831.6200","27502.3800","8250.8000","6875.6700","1375.1300",
"Elgin Buffet Inc.","120702317","Elgin","5","124383.4400","113423.9400","10959.5000","38547.0000","27587.4000","10959.6000","3287.8800","2739.9100","547.9700",
"Elgin Lanes Corporation, an Illinois Corporation","130705161","Elgin","4","245962.2900","225326.7200","20635.5700","50825.0000","30189.4300","20635.5700","6190.7600","5158.9700","1031.7900",
"Elgin Lodge No. 799 Loyal Order of Moose","120802273","Elgin","5","125540.2300","115378.1400","10162.0900","31168.0000","21005.9800","10162.0200","3048.7300","2540.6100","508.1200",
"Elgin Riverside Club","120702955","Elgin","4","126274.7600","118234.9100","8039.8500","46674.0000","38634.1500","8039.8500","2411.9500","2009.9600","401.9900",
"ELGIN TURNERS","130706645","Elgin","2","26483.3600","25400.4800","1082.8800","8091.0000","7008.1200","1082.8800","324.8500","270.7100","54.1400",
"Elgin's Best Pizza Inc.","130701957","Elgin","3","168677.3600","156708.5000","11968.8600","44301.0000","32332.0900","11968.9100","3590.7400","2992.2900","598.4500",
"Eli's Cafes, Inc.","160700116","Worth","5","296160.2600","268805.5300","27354.7300","89650.0000","62295.2700","27354.7300","8206.4700","6838.7200","1367.7500",
"ELITE CAFE & BILLIARDS, INC.","120707670","Melrose Park","3","52273.3600","47130.5300","5142.8300","18907.0000","13764.1700","5142.8300","1542.9100","1285.7600","257.1500",
"Elite Entertainment II, Inc.","160703374","Lincoln","5","458977.2400","422593.6200","36383.6200","133752.0000","97368.3800","36383.6200","10915.0800","9095.9000","1819.1800",
"Eliza, Inc.","160701350","Leroy","5","183220.5200","171790.6900","11429.8300","55032.0000","43602.1200","11429.8800","3428.9700","2857.4800","571.4900",
"Elizabeth A Smith","140700668","Mason City","3","75511.2000","69392.1800","6119.0200","25331.0000","19211.9800","6119.0200","1835.7100","1529.7600","305.9500",
"ELIZAVETH, INC.","150702438","Bedford Park","3","24348.9600","22117.6800","2231.2800","8674.0000","6442.7300","2231.2700","669.3800","557.8100","111.5700",
"ELK GROVE LOUNGE, INC.","120708746","Elk Grove Village","5","373442.4200","345202.5800","28239.8400","104964.0000","76724.1600","28239.8400","8472.0300","7060.0300","1412.0000",
"Elk Grove Park District","120705587","Elk Grove Village","5","62869.3000","58560.3500","4308.9500","17373.0000","13064.0500","4308.9500","1292.6700","1077.2300","215.4400",
"Elk Grove Village Veterans Club, Inc.","120713100","Elk Grove Village","3","32578.2300","28712.8700","3865.3600","15658.0000","11792.6400","3865.3600","1159.6500","966.3700","193.2800",
"Elkhorn Inn, Inc.","140704286","Cicero","3","50558.7400","44799.0200","5759.7200","18313.0000","12553.3800","5759.6200","1727.9500","1439.9600","287.9900",
"Elle's, Inc.","120707204","Peru","5","387868.6300","365940.7100","21927.9200","129541.0000","107612.9000","21928.1000","6578.4900","5482.0700","1096.4200",
"Ellida Lodge Home Association","130700464","Rockford","4","32811.3800","29704.4400","3106.9400","12554.0000","9446.9600","3107.0400","932.1000","776.7500","155.3500",
"ELLIOTT GAMING INC.","140704242","Grandview","5","397252.4400","371091.1400","26161.3000","147457.0000","121295.7000","26161.3000","7848.4600","6540.3800","1308.0800",
"Elliott's Corner Junction, Inc.","120709312","Pontiac","4","181955.9500","165644.0900","16311.8600","55209.0000","38897.1700","16311.8300","4893.5600","4077.9600","815.6000",
"Elm Street Grill, Inc.","130703898","Argenta","5","159992.3300","139470.4700","20521.8600","52477.0000","31955.1500","20521.8500","6156.5900","5130.4900","1026.1000",
"Elm Street Ventures, LLC","150701107","Rantoul","5","32224.4500","31355.5700","868.8800","11603.0000","10734.1200","868.8800","260.6400","217.2000","43.4400",
"Elm Street Ventures, LLC","140702641","Paxton","5","217521.5700","200055.2000","17466.3700","61556.0000","44089.5200","17466.4800","5239.9200","4366.6000","873.3200",
"Elmer's Ole Time Inn Corp.","160702288","Decatur","4","113870.9500","106057.2600","7813.6900","32675.0000","24861.3100","7813.6900","2344.1300","1953.4500","390.6800",
"ELMER'S TAVERN, INC.","120707311","Decatur","5","378482.5000","347162.6300","31319.8700","124517.0000","93197.2300","31319.7700","9395.9800","7829.9900","1565.9900",
"ELPATRON SPORTS BAR, INC.","130702814","Cicero","5","505378.7900","458201.3300","47177.4600","163453.0000","116275.5200","47177.4800","14153.2700","11794.3900","2358.8800",
"EMBERS TAP HOUSE AND SOCIAL CLUB, LLC","150701717","Lockport","4","111885.2700","102870.9800","9014.2900","40827.0000","31812.6100","9014.3900","2704.3300","2253.6100","450.7200",
"EMDK VENTURE, LLC","160701718","McHenry","5","124889.8100","115739.1000","9150.7100","40154.0000","31003.2900","9150.7100","2745.1800","2287.6500","457.5300",
"Emerald Post Corporation","120700710","Oak Lawn","5","203188.4400","191927.3200","11261.1200","61242.0000","49980.9800","11261.0200","3378.3100","2815.2600","563.0500",
"Emil Odling","120700741","Harvard","5","35671.9100","31582.0100","4089.9000","14776.0000","10686.1000","4089.9000","1227.0200","1022.5200","204.5000",
"Emma A. Blair","150701794","Adams County","3","43506.7700","40855.8800","2650.8900","16164.0000","13513.1100","2650.8900","795.3000","662.7500","132.5500",
"Emma, Inc.","120700594","Belleville","4","152323.1900","139229.9800","13093.2100","48497.0000","35403.7900","13093.2100","3927.9600","3273.3000","654.6600",
"Emmy's Cafe Ltd.","160700506","Braidwood","5","385089.0900","356803.2800","28285.8100","98681.0000","70396.7900","28284.2100","8485.2900","7071.0800","1414.2100",
"Emmy's Cafe Ltd.","160700226","Manhattan","5","362260.6400","339296.3900","22964.2500","116489.0000","93524.7500","22964.2500","6889.3400","5741.1100","1148.2300",
"EMMY'S CAFE LTD.","160701460","Coal City","5","475091.7600","435341.2800","39750.4800","121935.0000","82184.3800","39750.6200","11925.3100","9937.7600","1987.5500",
"Empty Pockets, LLC","120706752","Oregon","5","118082.7900","111871.6700","6211.1200","43391.0000","37179.8800","6211.1200","1863.3600","1552.8000","310.5600",
"EMWDP, INC.","160700428","Berwyn","5","303699.3500","282612.6000","21086.7500","91490.0000","70403.2500","21086.7500","6326.0100","5271.6800","1054.3300",
"EN GAR INC.","150702266","Woodridge","4","74076.3500","67404.2800","6672.0700","25682.0000","19009.9300","6672.0700","2001.6500","1668.0400","333.6100",
"Engrained Brewing Company LLC","150702740","Springfield","5","43159.6900","38595.1700","4564.5200","18088.0000","13523.4800","4564.5200","1369.3900","1141.1600","228.2300",
"Enid Enterprises, Inc.","160701574","Streator","5","128727.2100","117448.3200","11278.8900","39795.0000","28516.1100","11278.8900","3383.8000","2819.8300","563.9700",
"EPB TAVERN, INC.","140701786","Elmwood Park","5","466490.5100","427827.2800","38663.2300","152211.0000","113547.7700","38663.2300","11599.0900","9665.9100","1933.1800",
"EPF, INC.","150701295","Pittsfield","2","16426.2700","14926.8800","1499.3900","6044.0000","4544.6100","1499.3900","449.8200","374.8500","74.9700",
"EPM 12th Street Company","120707427","Berwyn","5","506717.8200","479120.3900","27597.4300","150066.0000","122468.5700","27597.4300","8279.3300","6899.4400","1379.8900",
"ERCR, Inc.","120704408","Loves Park","5","373137.9100","350768.2100","22369.7000","113082.0000","90712.3000","22369.7000","6710.8800","5592.4100","1118.4700",
"Eric J. Verucchi, Inc.","120707192","Ladd","3","92856.8900","86339.8700","6517.0200","34831.0000","28313.9800","6517.0200","1955.1200","1629.2600","325.8600",
"Eric J. Verucchi, Inc.","120710429","Spring Valley","5","210629.4500","191781.8900","18847.5600","71689.0000","52841.4400","18847.5600","5654.2700","4711.8900","942.3800",
"Eric Otto Brehm","130702061","Harvard","5","279001.8500","254639.0600","24362.7900","99540.0000","75177.2600","24362.7400","7308.8800","6090.7400","1218.1400",
"ERL CORP.","120700495","Round Lake Heights","5","597664.6500","551557.8800","46106.7700","187218.0000","141111.2300","46106.7700","13832.0300","11526.6900","2305.3400",
"Erle R. Tomlinson III","120705120","Murphysboro","5","253851.0500","237119.8800","16731.1700","76991.0000","60259.8000","16731.2000","5019.4300","4182.8600","836.5700",
"Ernest Lee Cleveland","140701779","Waverly","3","56387.0200","51061.9500","5325.0700","22496.0000","17170.9300","5325.0700","1597.6000","1331.3300","266.2700",
