"All Establishment Details"
"February 2017"
"Report Date: 05/05/2017 11:07 AM",
"Establishment","License Number","Municipality","VGT Count","Amount Played","Amount Won","Net Wager","Funds In","Funds Out","NTI","NTI Tax Rate (30%)","State Share","Municipality Share",
"2-FER'S Pizza & Pub, LLC","130703750","Minooka","4","190389.4400","171326.0800","19063.3600","60171.0000","41107.6400","19063.3600","5719.0700","4765.8900","953.1800",
"20'S HIDEOUT RESTAURANT, LLC","140701334","Marion","5","93778.1400","89420.7800","4357.3600","30292.0000","25934.6400","4357.3600","1307.3000","1089.4200","217.8800",
"2000 Meadows Avenue Tap, Inc.","120703489","East Peoria","5","409532.7400","364274.6700","45258.0700","139756.0000","94498.1600","45257.8400","13577.3400","11314.4500","2262.8900",
"219 Sports Bar, LLC","120708201","Waukegan","5","507270.7600","476432.6500","30838.1100","161444.0000","130605.8900","30838.1100","9251.4400","7709.5300","1541.9100",
"220 N. RANDALL RD, INC.","120700784","Lake In the Hills","5","487703.2400","449453.1200","38250.1200","160315.0000","122064.7200","38250.2800","11475.1300","9562.6100","1912.5200",
"2266 S. Sixth LLC","160702619","Springfield","3","24342.7600","25046.8600","-704.1000","6675.0000","7379.3000","-704.3000","-211.3000","-176.0800","-35.2200",
"2475 W. Higgins Road, Inc.","140703478","Hoffman Estates","5","272483.8000","248709.9400","23773.8600","89484.0000","65710.0600","23773.9400","7132.1900","5943.5000","1188.6900",
"251 Pub, Inc.","150701038","Lake In the Hills","5","175562.1500","161498.6100","14063.5400","60176.0000","46112.7100","14063.2900","4219.0700","3515.9000","703.1700",
"2520 PG, Inc.","160702010","Prairie Grove","5","219086.5800","198101.3200","20985.2600","68718.0000","47732.7800","20985.2200","6295.5900","5246.3300","1049.2600",
"2525 West Higgins Road, Inc.","140703117","Hoffman Estates","3","66796.7400","62896.6900","3900.0500","19665.0000","15764.9500","3900.0500","1169.9900","974.9900","195.0000",
"255 Group Ltd.","130705250","Aurora","5","215404.4400","198926.6500","16477.7900","59825.0000","43347.1300","16477.8700","4943.3800","4119.4800","823.9000",
"25TH ALLEY LOUNGE, INC.","120709211","Round Lake","5","340386.3400","312339.2500","28047.0900","108019.0000","79971.9100","28047.0900","8414.1600","7011.8000","1402.3600",
"27 Irving Park, LLC","140703638","Schiller Park","5","201539.4600","186802.9100","14736.5500","59520.0000","44783.6400","14736.3600","4420.9400","3684.1100","736.8300",
"2867 CORPORATION","120702167","Morrison","5","111720.9000","104748.3800","6972.5200","38104.0000","31131.4800","6972.5200","2091.7600","1743.1400","348.6200",
"2SALESGUYS LLC","160704045","Windsor (Shelby)","5","53938.9600","49128.7600","4810.2000","20282.0000","15471.6000","4810.4000","1443.1500","1202.6300","240.5200",
"2SALESGUYS LLC","150702987","Effingham","5","243187.4600","225762.2200","17425.2400","83775.0000","66349.7600","17425.2400","5227.5800","4356.3200","871.2600",
"3 Gam's, Inc.","120711569","Stonington","4","111320.9500","101049.4800","10271.4700","36220.0000","25948.5300","10271.4700","3081.4800","2567.9000","513.5800",
"3 MONKEYS INC.","120700672","South Chicago Heights","4","182786.3100","165900.0800","16886.2300","67141.0000","50254.8000","16886.2000","5065.8400","4221.5400","844.3000",
"3's COMPANY, LTD","150702175","West Brooklyn","3","60652.2100","57003.6500","3648.5600","21886.0000","18237.4400","3648.5600","1094.5700","912.1400","182.4300",
"308 MacArthur, Inc.","120702279","Madison County","5","460135.9900","429544.2700","30591.7200","120524.0000","89926.3900","30597.6100","9179.3300","7649.4400","1529.8900",
"312 Corporation","130705111","Oswego","5","235216.0800","210241.0900","24974.9900","83314.0000","58339.0100","24974.9900","7492.5800","6243.8200","1248.7600",
"32 Below, Inc.","150702369","Strasburg","4","126184.4100","117486.5800","8697.8300","40827.0000","32129.0300","8697.9700","2609.3600","2174.4700","434.8900",
"35 Years, LLC Landmark","150700815","Normal","5","217891.8100","197113.7600","20778.0500","66287.0000","45508.9500","20778.0500","6233.4800","5194.5600","1038.9200",
"35 Years, LLC Patriot Center","150700817","Normal","5","315825.3100","287703.7400","28121.5700","109272.0000","81150.4300","28121.5700","8436.4800","7030.4000","1406.0800",
"36 N. Genesee, LLC","160701747","Waukegan","5","129110.1100","120605.7800","8504.3300","43270.0000","34765.8300","8504.1700","2551.3300","2126.1100","425.2200",
"3D OF CRYSTAL LAKE, CORPORATION","160701341","Crystal Lake","3","35078.9700","31543.1400","3535.8300","13197.0000","9661.1700","3535.8300","1060.8200","884.0200","176.8000",
"3RD BASE LLC","120712649","Greene County","3","28368.1400","24832.1000","3536.0400","10129.0000","6592.9600","3536.0400","1060.7800","883.9900","176.7900",
