"All Establishment Details"
"February 2017"
"Report Date: 05/05/2017 11:07 AM",
"Establishment","License Number","Municipality","VGT Count","Amount Played","Amount Won","Net Wager","Funds In","Funds Out","NTI","NTI Tax Rate (30%)","State Share","Municipality Share",
"BARNEY'S GROUP, LLC, CEDAR CLUB SERIES","150700101","Quincy","2","210422.7700","200678.0500","9744.7200","52256.0000","42511.2800","9744.7200","2923.4400","2436.2000","487.2400",
"BARNEY'S GROUP, LLC, OAK SERIES","150700382","Quincy","2","68953.8400","61892.3000","7061.5400","23893.0000","16831.4600","7061.5400","2118.4800","1765.4000","353.0800",
"BARNEY'S TAVERN INC.","140700894","Quincy","2","47583.2100","42270.8100","5312.4000","13730.0000","8417.4500","5312.5500","1593.7700","1328.1400","265.6300",
"BARONE'S PIZZA, INC.","120709253","Carpentersville","5","253709.4700","231544.3800","22165.0900","80976.0000","58810.9100","22165.0900","6649.6000","5541.3400","1108.2600",
"Barraco's Pizza Inc.","120710507","Crestwood","4","133364.0700","123724.1500","9639.9200","42382.0000","32742.0600","9639.9400","2892.0900","2410.0700","482.0200",
"Barrington Bowling Center, Inc.","120704066","Hoffman Estates","5","287265.3400","265209.8000","22055.5400","85938.0000","63882.2600","22055.7400","6616.7400","5513.9500","1102.7900",
"BARRON FOOD SERVICE,INC.","130700431","Monee","5","78574.7700","70305.5600","8269.2100","27978.0000","19708.7900","8269.2100","2480.8200","2067.3500","413.4700",
"BART'S PLACE, INC.","120705016","Tovey","5","253708.3800","235792.9900","17915.3900","68009.0000","50093.6100","17915.3900","5374.6500","4478.8800","895.7700",
"Bartolini's Restaurant, Inc.","120700558","Midlothian","4","78935.4800","73809.2600","5126.2200","24096.0000","18969.8500","5126.1500","1537.8400","1281.5400","256.3000",
"Bartonville Post 3883, Veterans of Foreign Wars of the United States, Inc.","120903654","Bartonville","5","160559.8900","145802.8400","14757.0500","47461.0000","32704.6300","14756.3700","4427.0100","3689.1800","737.8300",
"Basket Case Pub Inc.","140703587","Peoria","4","134570.3100","128223.8500","6346.4600","40268.0000","33921.5400","6346.4600","1903.9500","1586.6300","317.3200",
"Batavia Lodge No. 682, Loyal Order of Moose","120808615","Kane County","5","243472.8500","224873.8400","18599.0100","63217.0000","44617.8900","18599.1100","5579.8100","4649.8400","929.9700",
"Battaglia's Pizza, Inc.","120702280","Algonquin","5","512867.1000","480620.8500","32246.2500","144506.0000","112259.7500","32246.2500","9673.9200","8061.6000","1612.3200",
"BAYMT, Inc","120702074","Bloomington","5","336239.8100","308313.9900","27925.8200","104534.0000","76608.0400","27925.9600","8377.8600","6981.5500","1396.3100",
"Bays Northbrook Hospitality, Corp.","130706319","Prospect Heights","5","53693.9700","49668.3800","4025.5900","16613.0000","12587.4100","4025.5900","1207.7300","1006.4400","201.2900",
"BB Motorsports LLC","160701009","Elmwood Park","5","296807.3400","271538.6200","25268.7200","90394.0000","65125.2800","25268.7200","7580.6800","6317.2400","1263.4400",
"BB'S BAR & GRILL, INC.","140704320","Fieldon","2","42334.1000","37485.1200","4848.9800","11759.0000","6910.0300","4848.9700","1454.7100","1212.2600","242.4500",
"BBINN, Inc.","120700574","Kane County","5","338403.0600","311436.9700","26966.0900","102284.0000","75317.9000","26966.1000","8089.9000","6741.5800","1348.3200",
"BBJT Gaming LLC","160700825","Decatur","5","611198.0900","559123.5200","52074.5700","199543.0000","147468.4300","52074.5700","15622.3600","13018.6300","2603.7300",
"BBMS, LLC","160701273","Bethany","5","64835.4000","61602.6900","3232.7100","23488.0000","20255.2600","3232.7400","969.8900","808.2400","161.6500",
"BBQ Korea Chicago, Inc.","140704260","Waukegan","5","153784.8200","145341.5400","8443.2800","56771.0000","48327.7200","8443.2800","2533.0100","2110.8400","422.1700",
"BBQ'D Productions Inc.","140702322","Third Lake","3","177403.9700","163147.1000","14256.8700","53144.0000","38887.1300","14256.8700","4277.0700","3564.2300","712.8400",
"BBQ123 DBA SOUTHBANK ORIGINAL BARBEQUE LLC","160701973","Yorkville","4","17424.1200","15866.7500","1557.3700","5742.0000","4185.0800","1556.9200","467.1100","389.2600","77.8500",
"BC Tappers, Inc.","130702120","Cicero","3","145755.9400","137462.4700","8293.4700","42894.0000","34600.5100","8293.4900","2488.1000","2073.4200","414.6800",
"BCARTER ENTERPRISES, INC.","130702731","Bunker Hill","5","143808.7300","133515.5100","10293.2200","47337.0000","37043.5300","10293.4700","3087.9900","2573.3300","514.6600",
"BCKM, LLC","140701561","Farina","5","123132.7400","108993.8600","14138.8800","35877.0000","21738.3200","14138.6800","4241.6700","3534.7300","706.9400",
"BD&B Enterprises, L.L.C.","150703795","Oak Lawn","5","528252.4500","486793.0300","41459.4200","141647.0000","100187.5800","41459.4200","12437.8500","10364.8800","2072.9700",
"BDC Rockford, LLC","150702477","Loves Park","5","558602.7200","520959.1400","37643.5800","174611.0000","136967.4200","37643.5800","11293.1300","9410.9500","1882.1800",
"Beanzy, LTD.","120711587","Lansing","5","258411.6600","238809.2700","19602.3900","78537.0000","58934.6100","19602.3900","5880.7600","4900.6400","980.1200",
"BEAR'S LIQUOR, INC.","140700003","Central City","5","618656.2400","568718.7100","49937.5300","176223.0000","126285.4700","49937.5300","14981.3000","12484.4200","2496.8800",
"BEARS SHOWTOWN USA, INC.","120710089","Lyndon","5","193647.7000","181336.3000","12311.4000","60447.0000","48135.6000","12311.4000","3693.4700","3077.8900","615.5800",
"Beavers Tap, Inc.","120707923","Streator","4","85954.4100","75883.7400","10070.6700","30906.0000","20835.2800","10070.7200","3021.2600","2517.7200","503.5400",
"BEAVERVILLE PUB, INC.","120706719","Beaverville","5","154009.2400","140989.4500","13019.7900","51353.0000","38333.2600","13019.7400","3906.0500","3255.0400","651.0100",
"Beck Oil Company of Illinois","131006317","Lincoln","5","764564.5700","716511.5300","48053.0400","225010.0000","176337.0600","48672.9400","14601.9300","12168.2800","2433.6500",
"Beck Oil Company of Illinois","131003839","Mendota","5","322486.9700","300711.4900","21775.4800","86385.0000","64609.4500","21775.5500","6532.7400","5443.9500","1088.7900",
"Beck Oil Company of Illinois","140702845","Princeton","5","302905.6900","271269.3600","31636.3300","91809.0000","60172.6700","31636.3300","9490.9900","7909.1600","1581.8300",
"BECKER CAPITAL INVESTMENTS, INC.","140702771","Clinton County","3","22878.9700","20297.6500","2581.3200","7701.0000","5119.7000","2581.3000","774.4000","645.3300","129.0700",
"Beckman-Hiveley, Inc.","130703602","Freeport","5","134246.9700","121176.3800","13070.5900","54022.0000","40951.4100","13070.5900","3921.2300","3267.6900","653.5400",
"Becky J. Munton","120707993","Banner","5","185692.0400","175338.8300","10353.2100","64552.0000","54198.7900","10353.2100","3105.9800","2588.3200","517.6600",
"Becky L. Quinn","160700597","Sibley","3","81402.4800","77586.2200","3816.2600","21955.0000","18138.7200","3816.2800","1144.9000","954.0800","190.8200",
"Becky M. Kenny","120702060","Mendota","5","79664.7200","72556.7300","7107.9900","24345.0000","17237.0100","7107.9900","2132.3900","1776.9900","355.4000",
"BEDROCK MANAGEMENT, INC.","121007210","Fox Lake","5","1093010.3500","1009046.1200","83964.2300","326492.0000","242594.3600","83897.6400","25169.3100","20974.4200","4194.8900",
"Beecher Veterans Association","120901215","Beecher","5","268823.8600","243635.0200","25188.8400","81124.0000","55934.9200","25189.0800","7556.6900","6297.2400","1259.4500",
"Beer Barrel Pub, Inc.","120705212","Godfrey","5","158860.5700","145523.9200","13336.6500","43943.0000","30606.3500","13336.6500","4001.0000","3334.1700","666.8300",
"Beg Snake Johnson, LLC","120701150","Alsip","5","248663.1000","224136.9200","24526.1800","70546.0000","46019.8200","24526.1800","7357.9000","6131.5800","1226.3200",
"Beggs-Gurley Post No. 5222, Veterans of Foreign Wars","120911313","Vienna","5","139562.3500","129762.2100","9800.1400","50228.0000","40427.8600","9800.1400","2940.0900","2450.0800","490.0100",
"BEHM of Morris Corporation","160700274","Morris","3","75619.4100","70543.4700","5075.9400","23885.0000","18809.0600","5075.9400","1522.7800","1268.9900","253.7900",
"Bella Banquets, Inc.","160700756","Countryside","4","61517.4500","56984.5700","4532.8800","20520.0000","15987.2500","4532.7500","1359.8500","1133.2100","226.6400",
"BELLA TRATTORIA LOUNGE, INC.","160701391","Williamsville","3","64567.6500","61083.3700","3484.2800","15982.0000","12497.7200","3484.2800","1045.2600","871.0500","174.2100",
"BELLA'S OF SUMMIT LLC","150704385","Summit","5","257964.3200","233821.4200","24142.9000","76623.0000","52480.1000","24142.9000","7242.9100","6035.7600","1207.1500",
"Bellevue Tap, Inc.","160702870","Bellevue","5","143409.9500","131801.7500","11608.2000","48981.0000","37372.8000","11608.2000","3482.4900","2902.0800","580.4100",
"Bellino's Tavern, Inc.","120703494","Standard","3","39140.9500","36315.6200","2825.3300","11825.0000","8999.7700","2825.2300","847.5800","706.3200","141.2600",
"Bellville/Swansea Lodge No. 1221, Loyal Order of Moose","160800657","Swansea","5","89356.5200","80800.4000","8556.1200","32133.0000","23576.8800","8556.1200","2566.8500","2139.0500","427.8000",
"Bellwood Memorial Post No. 5081, Veterans of Foreign Wars of the U.S.","120903712","Bellwood","4","33052.5900","29261.7300","3790.8600","11077.0000","7286.1400","3790.8600","1137.3400","947.7900","189.5500",
"Belmont A.C.","120704942","Will County","5","183379.4900","169369.1100","14010.3800","54848.0000","40837.6200","14010.3800","4203.1300","3502.6100","700.5200",
"Beltline Bowl Inc.","130700510","Belleville","5","556672.7800","520446.9000","36225.8800","173877.0000","137651.1200","36225.8800","10867.7900","9056.4900","1811.3000",
"Belvidere Lodge No. 295, Loyal Order of Moose","120812088","Belvidere","3","35585.9700","31904.2000","3681.7700","13687.0000","10005.2300","3681.7700","1104.5500","920.4600","184.0900",
"BEN OF ROCKFORD, INC.","120700778","Rockford","3","56604.9300","52523.3800","4081.5500","16248.0000","12166.4500","4081.5500","1224.4700","1020.3900","204.0800",
"BENANTI KING PIN LANES,L.L.C.","120706270","Springfield","5","404790.6800","379580.9800","25209.7000","128476.0000","103266.3000","25209.7000","7562.9400","6302.4500","1260.4900",
"Benchwarmers Pub, Inc.","120706771","Fairbury","3","23108.9700","21075.4900","2033.4800","6287.0000","4253.5200","2033.4800","610.0700","508.3900","101.6800",
"BENCHWARMERS SPORTS BAR & GRILL, INC.","140703506","Freeport","5","266356.2500","246307.2600","20048.9900","89702.0000","69653.0100","20048.9900","6014.7500","5012.2900","1002.4600",
"Benevolent & Protective Order of Elks Lodge 800","120806653","Marion","4","76795.7300","71150.9200","5644.8100","24228.0000","18583.2000","5644.8000","1693.4700","1411.2200","282.2500",
"Benevolent & Protective Order of Herrin Elks # 1146","120804245","Herrin","5","206168.6200","193926.7100","12241.9100","56350.0000","44108.0900","12241.9100","3672.6300","3060.5300","612.1000",
"Benevolent & Protective Order Ottawa Elks Lodge #588","120810804","Ottawa","2","7390.4300","6032.8100","1357.6200","2907.0000","1544.3800","1362.6200","408.7900","340.6600","68.1300",
"Benevolent and Protective Order of Elks, Lodge No. 1243","120809888","Carbondale","4","30095.3700","27059.9900","3035.3800","12210.0000","9174.9300","3035.0700","910.5500","758.8000","151.7500",
"Benevolent Protective Order of Elks, Lodge No. 623, Charleston,Illinois","120800618","Charleston","5","44419.4100","42979.3100","1440.1000","13415.0000","11974.9500","1440.0500","432.0300","360.0300","72.0000",
"BENJAMIN O. DAVIS POST NO. 311","120912307","Richton Park","5","117485.9200","110852.2300","6633.6900","38759.0000","32125.4600","6633.5400","1990.1000","1658.4100","331.6900",
"Bennett Business Partners, Inc.","120712724","Wadsworth","5","237495.5700","218253.3700","19242.2000","77394.0000","58151.8000","19242.2000","5772.6600","4810.5500","962.1100",
"Benny and Teresa Cimino","130703875","Durand","4","150157.6800","138375.4500","11782.2300","53287.0000","41504.7700","11782.2300","3534.7800","2945.6500","589.1300",
"Benny's Corner Bar & Grill, Inc.","140704142","Farmington","3","97541.5800","90640.2100","6901.3700","30278.0000","23376.6300","6901.3700","2070.4400","1725.3700","345.0700",
"Benny's Grill of Decatur, Inc.","130701412","Decatur","5","235630.3300","218220.9300","17409.4000","76044.0000","58634.5800","17409.4200","5222.8900","4352.4100","870.4800",
"Benny's Place Sportsbar & Grill, Inc.","120705954","Lynwood","5","377733.1200","345876.5900","31856.5300","117107.0000","85250.4700","31856.5300","9556.9900","7964.1600","1592.8300",
"Benson's Lounge, LLC","130704340","Chester","3","7796.8400","6409.6700","1387.1700","2970.0000","1582.8300","1387.1700","416.1700","346.8100","69.3600",
"Benton Aerie #2898, Inc., Fraternal Order of Eagles","120806570","Benton","5","247743.6100","232162.3500","15581.2600","71060.0000","55478.7400","15581.2600","4674.4100","3895.3500","779.0600",
"Benton Lodge No.1234, Benevolent and Protective Order of Elks of the USA","120811580","Benton","5","151526.2900","141137.8200","10388.4700","37757.0000","27368.5300","10388.4700","3116.5500","2597.1300","519.4200",
"Berkeley's Best Wings, Inc.","140703931","Berkeley","5","234277.9600","216680.1700","17597.7900","75042.0000","57444.1200","17597.8800","5279.4400","4399.5300","879.9100",
"Bernardi Brothers II, Inc.","120700297","Galesburg","4","162545.0700","150319.2600","12225.8100","48704.0000","36478.1500","12225.8500","3667.8100","3056.5100","611.3000",
"BERNARDI BROTHERS, INC.","120700438","Galesburg","2","73693.8600","68075.8900","5617.9700","24930.0000","19312.0300","5617.9700","1685.4200","1404.5200","280.9000",
"Bernardi's Restaurants, Inc.","120712137","Washington","2","19679.5100","18531.3100","1148.2000","5536.0000","4387.8000","1148.2000","344.4400","287.0400","57.4000",
"Bernardinis Incorporated","120710895","Nokomis","3","88506.5900","84392.8500","4113.7400","25195.0000","21081.2900","4113.7100","1234.1200","1028.4300","205.6900",
"Berry's Bar Inc.","120707550","Staunton","5","197017.5200","181303.3800","15714.1400","62467.0000","46752.8600","15714.1400","4714.3100","3928.5900","785.7200",
"Bertrand Lounge, Inc.","120700633","Waukegan","5","516177.7400","473249.7100","42928.0300","181730.0000","138801.9700","42928.0300","12878.4500","10732.0400","2146.4100",
"Berwyn Eagles Aerie 2125 FOE.","120802021","Berwyn","4","92603.5500","86524.3300","6079.2200","27441.0000","21361.7800","6079.2200","1823.7900","1519.8300","303.9600",
"Berwyn Lodge No. 424, Loyal Order of Moose","120801345","Berwyn","4","89886.4000","82962.6800","6923.7200","25550.0000","18626.2800","6923.7200","2077.1600","1730.9700","346.1900",
"Besa Halili","150702357","Sullivan","3","78828.4600","76172.9300","2655.5300","23039.0000","20383.4700","2655.5300","796.6700","663.8900","132.7800",
"Beslidheje, Inc.","120701992","South Elgin","3","56985.0200","52497.7800","4487.2400","23418.0000","18930.7600","4487.2400","1346.1700","1121.8100","224.3600",
"BET-EZ INC.","120702312","Machesney Park","5","412816.6800","376244.7500","36571.9300","122381.0000","85809.0700","36571.9300","10971.6500","9143.0400","1828.6100",
"Bethany Enterprises, Inc.","120708849","Rock Island","5","648697.4000","586939.6800","61757.7200","211706.0000","149948.2800","61757.7200","18527.3200","15439.4400","3087.8800",
"Bethany Enterprises, Inc.","140700986","Oak Grove","5","487607.9100","444869.7700","42738.1400","144799.0000","102060.8600","42738.1400","12821.4900","10684.5800","2136.9100",
"Bethany Enterprises, Inc.","140700985","Silvis","5","390429.3000","357220.0100","33209.2900","121907.0000","88697.6600","33209.3400","9962.8600","8302.3800","1660.4800",
"Better Hotels Inc.","140701750","Peoria","5","177672.8700","160474.1200","17198.7500","58202.0000","41003.2500","17198.7500","5159.6800","4299.7300","859.9500",
"Betties Place One, Inc.","130704364","Loves Park","5","434988.5400","401821.1600","33167.3800","113416.0000","80248.6200","33167.3800","9950.2500","8291.8800","1658.3700",
"Betties Place Two, Inc","130702667","Loves Park","5","414030.4200","380831.7700","33198.6500","112349.0000","79150.3500","33198.6500","9959.7100","8299.7600","1659.9500",
"Betties Place, Inc.","130701228","Machesney Park","5","337667.5000","310469.1700","27198.3300","94512.0000","67313.6700","27198.3300","8159.4800","6799.5700","1359.9100",
"Betty Brewer","130700493","St. David","2","23888.1900","22291.5200","1596.6700","7619.0000","6022.3300","1596.6700","479.0000","399.1700","79.8300",
"Betty Pate","120700760","Mount Vernon","5","262238.2700","243501.3700","18736.9000","72670.0000","53933.0900","18736.9100","5621.1100","4684.2600","936.8500",
"Betty Ruth Roley","140703279","Bloomington","5","379328.8300","348705.7600","30623.0700","113982.0000","83358.9300","30623.0700","9186.9200","7655.7700","1531.1500",
"Betty's Place, LLC","140700083","Springfield","5","751140.5600","705502.0000","45638.5600","245368.0000","199729.4400","45638.5600","13691.6200","11409.6900","2281.9300",
"BETTYS INC.","140703158","Savanna","4","133221.9600","122789.2300","10432.7300","34196.0000","23763.3200","10432.6800","3129.8400","2608.2000","521.6400",
"BEVERLY BRINK, INC.","120703139","Basco","2","67776.7500","61744.4900","6032.2600","25404.0000","19371.5900","6032.4100","1809.7200","1508.1000","301.6200",
"Bezak Enterprises, Inc.","130706457","Antioch","3","201949.5300","184620.9800","17328.5500","64232.0000","46903.2500","17328.7500","5198.6900","4332.2400","866.4500",
"BGA, Inc.","140701235","Tinley Park","5","319722.1800","295726.8800","23995.3000","87729.0000","63733.7000","23995.3000","7198.6500","5998.8800","1199.7700",
"BGB Traders Inc.","120708400","Waukegan","5","484755.9900","447947.7000","36808.2900","178624.0000","141815.7000","36808.3000","11042.4900","9202.0800","1840.4100",
"Bhangoo, Inc.","131003874","Hampshire","5","97695.9900","87551.6500","10144.3400","34134.0000","23989.6600","10144.3400","3043.3500","2536.1300","507.2200",
"BHZ, LLC","150702898","Oak Lawn","5","712650.6300","657205.9900","55444.6400","226617.0000","171170.5300","55446.4700","16634.0000","13861.6700","2772.3300",
"BIELSER, INC.","120710654","Lomax","3","67079.9400","62108.6100","4971.3300","21068.0000","16096.6700","4971.3300","1491.4500","1242.8800","248.5700",
"Big Art's Yokel Corp.","160702110","Tazewell County","3","92569.1400","84371.9200","8197.2200","27501.0000","19303.7800","8197.2200","2459.1800","2049.3200","409.8600",
"Big Boys Bar & Grill LLC","150700652","Johnson County","5","99294.3700","93808.4400","5485.9300","22803.0000","17317.0500","5485.9500","1645.8400","1371.5300","274.3100",
"Big Brother & The Holding Company, Inc.","140703206","Fisher","4","40121.0200","36141.0400","3979.9800","15553.0000","11573.0200","3979.9800","1194.0400","995.0400","199.0000",
"Big Catz Barbeque, LLC","150702959","Knoxville","4","150056.3100","139624.3200","10431.9900","42848.0000","32416.2000","10431.8000","3129.6000","2608.0000","521.6000",
"Big Cheese, Inc.","150703510","Bloomington","5","87201.2000","82698.8500","4502.3500","27644.0000","23141.3300","4502.6700","1350.8100","1125.6800","225.1300",
"BIG DAN'S SWITCHYARD BAR AND GRILL, INC.","150700006","Rochelle","5","95757.0300","86064.2900","9692.7400","30156.0000","20463.2600","9692.7400","2907.9000","2423.2500","484.6500",
"Big Ed's BBQ LLC","150700676","Waukegan","3","109947.1800","100527.1900","9419.9900","35733.0000","26313.0100","9419.9900","2826.0400","2355.0300","471.0100",
"BIG FOOT, INC.","120709904","Rockford","5","223752.5800","208589.0300","15163.5500","75075.0000","59911.5000","15163.5000","4549.0800","3790.9000","758.1800",
"Big Jack's Chicago-Style Red Hots, Inc.","150702249","Round Lake Park","4","74316.1600","70254.8100","4061.3500","25643.0000","21581.6500","4061.3500","1218.4400","1015.3700","203.0700",
"Big John's Corner LLC","120705184","Hardin","3","72722.9800","66416.4500","6306.5300","20355.0000","14048.4700","6306.5300","1891.9500","1576.6300","315.3200",
"Big Kahuna Corporation","130700200","East Dundee","5","226009.4300","210144.2100","15865.2200","70937.0000","55071.7800","15865.2200","4759.6200","3966.3500","793.2700",
"Big Rack's, Inc.","130705806","Canton","4","66787.0000","64286.8100","2500.1900","20041.0000","17541.0800","2499.9200","749.9800","624.9800","125.0000",
"Big River Entertainment, Inc.","160700826","Colona","5","272484.9300","248740.7100","23744.2200","76150.0000","52405.7800","23744.2200","7123.2700","5936.0600","1187.2100",
"Big River Entertainment, Inc.","160700824","Silvis","5","86637.6500","78095.6600","8541.9900","25192.0000","16650.0100","8541.9900","2562.5900","2135.4900","427.1000",
"Big River Entertainment, Inc.","160700003","Milan","5","346472.6700","319873.4600","26599.2100","92630.0000","66030.7900","26599.2100","7979.8700","6649.8900","1329.9800",
"Big River Entertainment, Inc.","150702991","Princeton","5","210674.5900","196305.6900","14368.9000","61331.0000","46962.1000","14368.9000","4310.6700","3592.2300","718.4400",
"Big River Entertainment, Inc.","150703363","Galva","5","204309.3100","190515.3700","13793.9400","63946.0000","50152.0600","13793.9400","4138.2900","3448.5800","689.7100",
"Big River Entertainment, Inc.","150703752","Kewanee","5","350254.0000","318524.2300","31729.7700","90142.0000","58412.2300","31729.7700","9518.9600","7932.4700","1586.4900",
"Big Shots L.L.C.","120707754","Granville","3","59447.0800","55478.3100","3968.7700","20903.0000","16934.2300","3968.7700","1190.6900","992.2400","198.4500",
"BIG SHOTS S&M INCORPORATED","160703254","Springfield","5","60779.1200","54618.3800","6160.7400","22082.0000","15921.1800","6160.8200","1848.2200","1540.1900","308.0300",
"BIG SIX, LLC","120700263","Peoria","5","297265.7200","273889.3600","23376.3600","96128.0000","72751.6400","23376.3600","7012.9600","5844.1300","1168.8300",
"Big Tubby's Inc.","140704174","Rock Island","4","123715.5000","116301.4100","7414.0900","33706.0000","26291.6100","7414.3900","2224.3000","1853.5800","370.7200",
"Biggies Enterprises, Inc.","140700080","Morton Grove","5","734563.1700","675397.9800","59165.1900","220112.0000","160946.8100","59165.1900","17749.6200","14791.3500","2958.2700",
"Bigler's Curve, Inc.","120708323","Decatur","5","269442.8900","246888.5600","22554.3300","82418.0000","59863.6700","22554.3300","6766.3700","5638.6400","1127.7300",
"BIKINI BOTTOM BAR & GRILL, INC.","130701482","West Dundee","5","161046.9600","146204.2600","14842.7000","69329.0000","54486.3000","14842.7000","4452.8700","3710.7300","742.1400",
"Bilardello Inc.","120707196","South Beloit","5","214091.2700","197159.4800","16931.7900","60017.0000","43085.1400","16931.8600","5079.6900","4233.0800","846.6100",
"BILL'S PIZZA & PUB, INC.","130701384","Mundelein","2","65278.0200","61245.2800","4032.7400","17024.0000","12991.2600","4032.7400","1209.8500","1008.2000","201.6500",
"Bill's Pub North, Inc.","140701055","Third Lake","4","164402.0100","154086.4800","10315.5300","44358.0000","34042.4300","10315.5700","3094.7200","2578.9400","515.7800",
"BillHill, Inc.","120706741","Bloomington","5","215146.1000","195348.5600","19797.5400","61553.0000","41755.1600","19797.8400","5939.3400","4949.4500","989.8900",
"Billiards & Brew, Inc.","120702993","Wapella","5","187103.7900","168255.2200","18848.5700","64111.0000","45262.4300","18848.5700","5654.6500","4712.2100","942.4400",
"Billiards & Brew, Inc.","120700481","Clinton","5","240859.6300","208859.4200","32000.2100","79347.0000","47346.7900","32000.2100","9600.1700","8000.1400","1600.0300",
"BILLY MORAN'S INC.","130700358","Mundelein","5","390602.4400","358169.0600","32433.3800","119601.0000","87167.5200","32433.4800","9730.1400","8108.4500","1621.6900",
"Billy R Jump","120701321","Canton","3","60062.6300","55071.3200","4991.3100","18259.0000","13267.6900","4991.3100","1497.4000","1247.8400","249.5600",
"Billy Ray Willis & Connie Francis Willis","120704274","Greenview","5","183017.1300","167170.6300","15846.5000","58124.0000","42277.5000","15846.5000","4754.0600","3961.7200","792.3400",
"Billy's Pub & Grill, Inc.","150703197","Spring Grove","4","81802.2400","75754.1400","6048.1000","28453.0000","22404.9000","6048.1000","1814.5200","1512.1000","302.4200",
"Billy's Tap, Inc.","120704818","Canton","4","73061.3700","65981.6500","7079.7200","25168.0000","18088.3800","7079.6200","2123.8600","1769.8900","353.9700",
"Bindy's, Inc.","120704886","Granite City","5","249594.6500","235106.4700","14488.1800","81748.0000","67259.7600","14488.2400","4346.5700","3622.1500","724.4200",
"Binix, Inc.","120701467","Stickney","5","214679.3500","202982.1200","11697.2300","66195.0000","54497.8700","11697.1300","3509.1500","2924.3000","584.8500",
"Bink, Inc.","120700343","Decatur","5","392082.9300","352558.2300","39524.7000","140756.0000","101231.2200","39524.7800","11857.5200","9881.2700","1976.2500",
"Birchland, Inc.","130704607","Lake County","5","189267.9500","173889.3400","15378.6100","56512.0000","41133.4900","15378.5100","4613.6100","3844.6800","768.9300",
"Birdies 2 LLC","160701038","Benton","5","102945.5900","96405.5100","6540.0800","30088.0000","23546.2000","6541.8000","1962.5900","1635.4900","327.1000",
"Bishop Hill Colony Inn, Inc.","140703156","Bishop Hill","3","69212.0500","62270.0800","6941.9700","23106.0000","16163.9000","6942.1000","2082.6100","1735.5100","347.1000",
"BISHOP'S CHILI OF WESTMONT, INC.","130703101","Westmont","4","105816.0500","98613.4400","7202.6100","29375.0000","22172.4300","7202.5700","2160.8000","1800.6700","360.1300",
"Bites and Pints, LLC","150704025","Bartonville","5","83088.1500","80204.7100","2883.4400","25289.0000","22405.5600","2883.4400","865.0800","720.9000","144.1800",
"BJKR, INC.","130704279","Oak Forest","5","406479.4600","373269.6900","33209.7700","140511.0000","107298.2200","33212.7800","9963.8800","8303.2400","1660.6400",
"BJP ENTERPRISES, LLC","120700553","Breese","4","49589.5200","47704.8700","1884.6500","17650.0000","15765.5600","1884.4400","565.3400","471.1200","94.2200",
"BK & MM VENTURES LLC","160702415","St. Charles","5","343750.3900","319408.4100","24341.9800","106322.0000","81980.1800","24341.8200","7302.5800","6085.4900","1217.0900",
"BKB BAR INC.","150704353","Roodhouse","5","289123.1900","267245.5400","21877.6500","92181.0000","70303.3500","21877.6500","6563.4100","5469.5100","1093.9000",
"BL & HL Enterprises, Inc.","120700393","Paris","5","367934.0000","338535.8100","29398.1900","97685.0000","68286.8100","29398.1900","8819.4800","7349.5700","1469.9100",
"Black Bear J.D., Inc.","150702502","Vermilion County","5","272842.8800","250572.8300","22270.0500","88241.0000","65970.9500","22270.0500","6681.0600","5567.5600","1113.5000",
"Black Beard's Gaming, Inc.","160702979","Shabbona","5","87089.2500","78717.4800","8371.7700","27101.0000","18729.0300","8371.9700","2511.6200","2093.0200","418.6000",
"Black Cat Corporation","120708491","Seneca","5","103834.6000","94816.3200","9018.2800","29431.0000","20412.7200","9018.2800","2705.5400","2254.6200","450.9200",
"Black Eagle Restaurant Group, LLC","160701917","Champaign","5","299280.4100","276149.6400","23130.7700","105682.0000","82551.2300","23130.7700","6939.2400","5782.7000","1156.5400",
"Blackfront, Inc.","120700750","Charleston","3","67205.7500","62389.1300","4816.6200","23150.0000","18333.4900","4816.5100","1444.9700","1204.1500","240.8200",
"Blackhawk Athletic Club","120700272","Rockford","5","443713.5300","407224.4200","36489.1100","155855.0000","119366.2900","36488.7100","10946.6600","9122.2200","1824.4400",
"Blackhawk Restaurant Group LLC","130700177","Joliet","5","991974.1800","906599.7500","85374.4300","258374.0000","172999.5700","85374.4300","25612.3900","21343.6600","4268.7300",
"Blackhawk Restaurant Group LLC","130702144","Joliet","5","825566.6900","762695.2000","62871.4900","255517.0000","192645.5100","62871.4900","18861.4900","15717.9100","3143.5800",
"Blackhawk Restaurant Group LLC","160700764","Tinley Park","5","319389.4300","294172.2400","25217.1900","98673.0000","73455.8100","25217.1900","7565.1600","6304.3100","1260.8500",
"Blackhawk Restaurant Group LLC","140703073","Champaign","5","417972.1800","382112.8600","35859.3200","135448.0000","99588.6800","35859.3200","10757.8500","8964.8700","1792.9800",
"Blackhawk Restaurant Group LLC","160702376","Round Lake Beach","5","757787.6000","702445.0100","55342.5900","234938.0000","179595.4100","55342.5900","16602.8400","13835.7000","2767.1400",
"Blackhawk Restaurant Group LLC Series 1700PPNormal","150701652","Normal","5","265099.2200","248764.2400","16334.9800","79340.0000","63005.0200","16334.9800","4900.5300","4083.7800","816.7500",
"Blackhawk Restaurant Group LLC Series 240Randall","130702952","South Elgin","5","684248.8100","633487.5700","50761.2400","180690.0000","129928.7600","50761.2400","15228.4500","12690.3700","2538.0800",
